,ARGs,cIntI-1(class1),intI-1(clinic),IS613,tnpA-01,tnpA-02,tnpA-03,tnpA-04,tnpA-05,tnpA-07,Tp614, Chloramphenicol,Thiamphenicol,Florfenicol,Sulfapyridine,Sulfadiazine,Sulfamethoxazole,Sulfathiazole,Sulfamerazine,Sulfadimidine,Sulfaquinoxaline,Sulfamethazine,Norfloxacin,Ciprofloxacin,Enrofloxacin,Ofloxacin, Tetracycline, Doxycycline,Oxytetracycline,Chloroteracycline,Erythromycin,Roxithromycin,PH,salinity,S,Fe,Fe2+,Fe3+
LHK,15741798.92 ,335461.22 ,1423801.10 ,0.00 ,40658.50 ,0.00 ,0.00 ,989881.76 ,52539.67 ,22116.95 ,0.00 ,0.20 ,0.00 ,0.10 ,1.95 ,3.35 ,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.05 ,7.40 ,0.30 ,1.50 ,1.00 ,216.15 ,3.30 ,2.30 ,2.35 ,0.05 ,7.60 ,13.10 ,0.00 ,2.90 ,1.73 ,1.17 
LHK4,10481677.54 ,1351236.78 ,0.00 ,2855.74 ,30861.90 ,0.00 ,0.00 ,781403.98 ,45316.19 ,22205.03 ,2703.49 ,1.26 ,0.00 ,0.00 ,3.16 ,0.25 ,0.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.44 ,5.21 ,7.69 ,1.49 ,2.77 ,3.52 ,4.18 ,9.69 ,0.82 ,6.51 ,0.84 ,7.84 ,0.10 ,0.02 ,2.76 ,2.22 ,0.54 
MJ,1652358.14 ,0.00 ,226279.70 ,0.00 ,0.00 ,6989.49 ,36641.61 ,1166838.10 ,16274.84 ,52559.30 ,0.00 ,0.10 ,0.31 ,0.11 ,0.00 ,1.48 ,0.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.96 ,13.26 ,2.08 ,3.75 ,1.05 ,0.59 ,8.29 ,7.38 ,2.51 ,0.16 ,7.55 ,26.04 ,0.23 ,4.30 ,3.38 ,0.92 
MJ4,6444751.99 ,14854.82 ,0.00 ,0.00 ,3159.84 ,0.00 ,1686655.22 ,1144061.89 ,94221.17 ,172084.03 ,1398.79 ,14.88 ,2.29 ,0.19 ,0.00 ,0.02 ,0.10 ,0.00 ,0.00 ,0.00 ,0.16 ,0.00 ,4.91 ,8.41 ,1.32 ,3.41 ,3.02 ,1.38 ,10.22 ,4.28 ,8.24 ,2.52 ,7.69 ,2.58 ,0.59 ,5.17 ,2.27 ,2.90 
NL,328276.42 ,0.00 ,76081.92 ,0.00 ,0.00 ,0.00 ,0.00 ,21820.89 ,0.00 ,0.00 ,0.00 ,0.26 ,0.20 ,0.10 ,0.13 ,4.10 ,0.44 ,0.05 ,0.15 ,0.00 ,0.10 ,0.00 ,6.41 ,7.35 ,0.47 ,1.09 ,0.59 ,0.74 ,9.99 ,2.15 ,2.22 ,0.20 ,7.30 ,21.21 ,0.19 ,1.78 ,0.83 ,0.95 
NL2,243499.33 ,0.00 ,45450.82 ,0.00 ,0.00 ,0.00 ,0.00 ,13991.90 ,0.00 ,0.00 ,0.00 ,0.35 ,0.00 ,0.10 ,0.25 ,7.05 ,0.25 ,0.00 ,0.15 ,0.00 ,0.10 ,0.00 ,6.20 ,5.40 ,0.35 ,0.60 ,0.65 ,1.40 ,17.25 ,2.00 ,1.60 ,0.20 ,7.11 ,29.90 ,0.01 ,2.69 ,1.06 ,1.62 
NL24,971116.48 ,4905.96 ,0.00 ,0.00 ,0.00 ,0.00 ,2823.05 ,204062.22 ,77677.52 ,2388.58 ,0.00 ,6.03 ,0.00 ,0.00 ,0.00 ,0.07 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.21 ,10.02 ,2.62 ,3.54 ,3.39 ,0.00 ,22.49 ,10.75 ,13.11 ,1.26 ,7.38 ,2.48 ,0.09 ,1.28 ,0.52 ,0.76 
NL4,2858319.77 ,0.00 ,548791.20 ,0.00 ,1840.95 ,0.00 ,0.00 ,128730.81 ,37845.86 ,3861.75 ,0.00 ,8.73 ,2.91 ,0.87 ,0.00 ,0.07 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.14 ,7.53 ,9.75 ,2.81 ,4.15 ,3.90 ,1.10 ,11.46 ,9.46 ,5.04 ,0.82 ,7.37 ,11.00 ,0.17 ,1.05 ,0.33 ,0.72 
NL6,271608.95 ,0.00 ,86819.80 ,0.00 ,0.00 ,2007.32 ,0.00 ,37134.52 ,0.00 ,0.00 ,0.00 ,0.20 ,0.00 ,0.10 ,0.00 ,3.05 ,0.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,9.90 ,0.65 ,1.40 ,0.55 ,0.00 ,3.00 ,1.50 ,1.75 ,0.00 ,7.89 ,18.19 ,0.21 ,2.02 ,1.16 ,0.86 
NL64,971116.48 ,1616.68 ,1754161.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1929.57 ,1.19 ,0.00 ,0.00 ,0.00 ,0.05 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.76 ,9.57 ,3.59 ,5.68 ,4.27 ,0.00 ,8.45 ,12.41 ,1.29 ,0.19 ,7.47 ,17.30 ,0.17 ,0.91 ,0.29 ,0.62 
