Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Gilvimarinus_agarilyticus,1240,1622,1110,5862,4352,694,1732,3882,6148,1112,452,2374,482,304,1204,1344,3410,2800,3258,464,2624,4626,942,1040
s__Algibacter_sp._HZ22,792,642,800,4626,778,272,788,3172,4752,3236,254,3070,368,386,1084,592,570,18310,3652,196,1516,1430,472,1296
s__Ruegeria_sp._6PALISEP08,2834,2508,924,7616,2506,920,1216,2434,4076,1646,720,1684,1194,636,2030,2662,1968,2290,1508,526,3930,4110,1402,1626
s__Desulfotalea_psychrophila,1140,1402,768,8802,2070,1468,944,1830,3450,8098,602,1040,560,964,1178,746,1368,4492,1932,344,4186,4044,732,766
s__Desulfonatronum_thioautotrophicum,974,1382,1738,3484,2438,9200,1004,2302,2092,4864,1972,1418,1136,2280,1446,1320,1900,1516,1820,1258,1306,3808,962,1276
s__Caenimonas_sp._SL110,634,342,6592,602,4080,1642,904,4110,844,474,4462,3668,1310,1436,1350,1738,2910,1182,1112,6244,916,458,3170,2680
s__Solimonas_soli,1482,1048,2474,3708,4062,1340,1620,3504,4146,882,2048,2582,1034,1032,1668,2022,2922,2158,2638,1916,2220,3216,1496,1606
s__Hoeflea_phototrophica,4000,4692,724,4098,2218,782,1070,2406,3170,1856,344,1624,1672,652,2908,3700,1870,2082,1394,240,4450,3866,1530,1472
s__Thalassobius_mediterraneus,2494,2646,640,6792,1972,322,968,2322,4674,2176,168,1922,982,254,1498,2008,1928,3262,1870,186,6096,4632,1476,1396
s__Aliiglaciecola_lipolytica,704,1306,858,5948,4676,1554,1812,3988,6142,1288,388,2210,344,152,954,1230,3364,2938,2682,404,2944,4630,888,1044
s__Azospirillum_sp._B4,942,560,1594,3090,4864,10322,1174,3390,3080,658,1038,1664,776,1356,1108,1458,2930,2104,1648,1228,1930,3184,1090,1170
s__Thermomonospora_curvata,4508,1886,1706,2590,3764,850,610,2938,1564,2500,660,2522,2182,1570,3000,4318,2674,2180,1930,666,1928,1406,3344,1034
s__Verrucomicrobium_sp._BvORR034,1350,730,10104,1834,3296,4580,528,2944,1518,912,2608,1680,1052,1920,1240,1460,1658,1786,1858,3248,2324,1336,958,1354
s__Hoeflea_sp._IMCC20628,3332,3762,1252,3480,2634,1750,950,2224,2922,2354,516,1862,1788,1362,2752,4066,1996,2284,1460,464,3036,3138,1508,1382
s__candidate_division_TA06_bacterium_DG_26,740,524,2098,1564,2572,20008,760,2128,1184,1368,628,2298,978,1990,1016,1516,1572,936,2572,698,762,1722,1098,1428
s__Gelidibacter_mesophilus,710,348,930,3874,1212,572,610,2666,8334,1724,116,4622,430,144,1002,972,502,11110,7200,74,974,1082,464,2468
s__Pseudogulbenkiania_sp._MAI-1,918,700,3262,2298,4322,4300,1152,3392,2520,1000,2970,2304,1362,1814,1486,1862,2802,1910,1552,3154,1604,2014,1494,1918
s__Luteimonas_huabeiensis,1116,1186,2516,4308,3974,1114,1424,3392,4394,1166,1910,2346,796,582,1274,1378,3008,2584,3126,1702,2482,3356,1486,1460
s__Moorella_thermoacetica,890,416,1524,1106,2768,20480,490,1942,1052,1004,744,1926,1440,3314,1306,1690,1710,1100,1492,804,1052,1038,1462,1204
s__Nitrospina_sp._SCGC_AAA799_A02,312,234,812,1414,4588,2702,7998,4432,3474,402,414,3368,268,700,542,460,9490,1538,588,314,1090,3806,1696,1150
